internalCourseId,slug,exactDbTitle,currentPriceJod,recommendedAppleProductId,recommendedAppleReferenceName,recommendedArabicDisplayName,recommendedEnglishDisplayName,recommendedArabicDescription,recommendedEnglishDescription,recommendedIapType,suggestedAppStoreConnectPriceNote,iosVisibilityRecommendation,riskNotes
cmph4fsji006rtu0zytxzs8yn,full-stack-with-ai-and-vibe-coding,Full-Stack-With-AI & vibe coding,300.00,studyzhouse_course_full_stack_with_ai_and_vibe_coding,Full-Stack With AI and Vibe Coding,Full-Stack AI و Vibe Coding,Full-Stack AI & Vibe Coding,يفتح كورس Full-Stack AI في STUDYZHOUSE.,Unlocks Full-Stack AI course in STUDYZHOUSE.,Non-Consumable,Catalog 300.00 JOD (flagship) → ASC tier closest to ~300 JOD (~USD 420). Verify Jordan/storefront tiers carefully.,Do not expose for iOS purchase until IAP wiring for this Product ID is complete. Create Product ID now; gate visibility carefully.,UNCLEAR PRICE: 300 JOD vs 70 JOD peers. Informal DB title casing. DB description is only 'vibe coding' — improve marketing copy outside ASC if needed.
cmptnzw1x0122s30yl43vbb9t,mharh-altqryr,مهارة التقرير,70.00,studyzhouse_course_mharh_altqryr,Report Writing Skill Course,مهارة التقرير,Report Writing Skill,يفتح كورس مهارة التقرير في STUDYZHOUSE.,Unlocks Report Writing Skill in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,UNCLEAR CONTENT NOTE: DB description mentions merged videos for minute coverage — review before App Review.
cmptovnbg015ys30ylojbe1km,mharh-altqryr-albhth-alaam,مهارة التقرير البحث العام,70.00,studyzhouse_course_mharh_altqryr_albhth_alaam,General Research Report Skill,مهارة التقرير: البحث العام,General Research Report,يفتح كورس التقرير (بحث عام) دائمًا.,Unlocks General Research Report in STUDYZHOUS,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Report-skill series; DB description mentions merged videos/assignments for duration.
cmptogpkq0140s30yh8e0w758,mharh-altqryr-albhth-alamyq,مهارة التقرير البحث العميق,70.00,studyzhouse_course_mharh_altqryr_albhth_alamyq,Deep Research Report Skill,مهارة التقرير: البحث العميق,Deep Research Report,يفتح كورس التقرير (بحث عميق) دائمًا.,Unlocks Deep Research Report in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Report-skill series.
cmptp5jfw0180s30yarlcnt7b,mharh-altqryr-drash-alhalh,مهارة التقرير دراسة الحالة,70.00,studyzhouse_course_mharh_altqryr_drash_alhalh,Case Study Report Skill,مهارة التقرير: دراسة الحالة,Case Study Report Skill,يفتح كورس دراسة الحالة في STUDYZHOUSE.,Unlocks Case Study Report in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Report-skill series.
cmptpmai301acs30y6ln6qjmm,mharh-altqryr-drash-aljdwa,مهارة التقرير دراسة الجدوى,70.00,studyzhouse_course_mharh_altqryr_drash_aljdwa,Feasibility Study Report Skill,مهارة التقرير: دراسة الجدوى,Feasibility Study Report,يفتح كورس دراسة الجدوى في STUDYZHOUSE.,Unlocks Feasibility Study in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Report-skill series.
cmpe4yx9l0005qx0yqbgn2ydj,mswdh-kwrs,يلا • AI,70.00,studyzhouse_course_mswdh_kwrs,Yalla AI Course,يلا • AI,Yalla AI Course,يفتح كورس يلا AI في STUDYZHOUSE دائمًا.,Unlocks Yalla AI permanently in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → choose ASC price tier closest to ~70 JOD (~USD 99). Confirm Jordan/storefront pricing.,"Do not expose for iOS purchase until Product ID is created, Course.appleProductId is set, iosPurchasable=true, and app IAP is enabled.",Short brand-style DB title; subject is AI learning.
cmpe5bg9j001pqx0y20nv2obq,mswdh-kwrs-1,دورة احتراف كتابة المحتوى بالذكاء الاصطناعي,70.00,studyzhouse_course_mswdh_kwrs_1,AI Content Writing Mastery (v1),كتابة محتوى بالذكاء (1),AI Content Writing (1),يفتح كورس كتابة المحتوى (1) في STUDYZHOUSE.,Unlocks AI Content Writing 1 in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,UNCLEAR / DUPLICATE TITLE with mswdh-kwrs-17 (same Arabic DB title; both 55 lessons). Confirm they are distinct SKUs before creating both. Differentiated as (1) vs (2) in ASC names. 0 enrollments.
cmpe69t9x00s9qx0y5rskcibs,mswdh-kwrs-10,المسار السريع لتعلم فلاتر: من المنطق البرمجي إلى واجهة المستخدم | Flutter Fast Track: From Logic to UI,70.00,studyzhouse_course_mswdh_kwrs_10,Flutter Fast Track Logic to UI,المسار السريع لتعلم فلاتر,Flutter Fast Track,يفتح كورس Flutter Fast Track دائمًا.,Unlocks Flutter Fast Track in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Short course (5 lessons) at 70 JOD — confirm readiness.
cmpe6bgxl00t7qx0y8clmmtuv,mswdh-kwrs-11,Photoshop Mastery Essentials | أساسيات احتراف الفوتوشوب,70.00,studyzhouse_course_mswdh_kwrs_11,Photoshop Mastery Essentials,أساسيات احتراف الفوتوشوب,Photoshop Mastery Essentials,يفتح كورس أساسيات الفوتوشوب دائمًا.,Unlocks Photoshop Essentials in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,None major. EN display name is 28 chars.
cmpe6ew0b00uhqx0y636zvmm7,mswdh-kwrs-12,Dev Tools Sprint | حقيبة المطور السريعة,70.00,studyzhouse_course_mswdh_kwrs_12,Dev Tools Sprint Course,حقيبة المطور السريعة,Dev Tools Sprint,يفتح كورس حقيبة المطور السريعة دائمًا.,Unlocks Dev Tools Sprint in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,UNCLEAR READINESS: only 3 lessons at 70 JOD.
cmpf9iykj000jmi0yw2u7ses0,mswdh-kwrs-13,دورة SPSS: احتراف التحليل الإحصائي,70.00,studyzhouse_course_mswdh_kwrs_13,SPSS Statistical Analysis Mastery,دورة SPSS للتحليل الإحصائي,SPSS Analysis Mastery,يفتح كورس SPSS داخل STUDYZHOUSE دائمًا.,Unlocks SPSS Analysis Mastery in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Short course (4 lessons) at 70 JOD — confirm readiness.
cmpf9khwo001fmi0yjj1gm06b,mswdh-kwrs-14,احــتــــراف الكــتــــابة الــذّكــــية بالــلــغــــة الإنــجــلــــيزيــــة | Smart English Writing Mastery,70.00,studyzhouse_course_mswdh_kwrs_14,Smart English Writing Mastery,الكتابة الذكية بالإنجليزية,Smart English Writing,يفتح كورس الكتابة الذكية بالإنجليزية دائمًا.,Unlocks Smart English Writing in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,DB title has decorative letter spacing; cleaned for ASC. UNCLEAR READINESS: only 3 lessons.
cmpf9uu3y002bmi0yol17b94f,mswdh-kwrs-15,كتابة المحتوى الذكية – 90 دقيقة,70.00,studyzhouse_course_mswdh_kwrs_15,Smart Content Writing 90 Minutes,كتابة المحتوى الذكية 90د,Smart Content Writing 90m,يفتح كورس كتابة المحتوى الذكية دائمًا.,Unlocks Smart Content Writing in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,UNCLEAR VALUE / PRICE: only 2 lessons at 70 JOD — review before creating or keep Ready to Submit delayed.
cmpf9zjbv002xmi0yvn0wogpu,mswdh-kwrs-16,معسكر تدريب BatTechno - Full Stack,70.00,studyzhouse_course_mswdh_kwrs_16,BatTechno Full Stack Bootcamp,معسكر BatTechno Full Stack,BatTechno Full Stack,يفتح معسكر BatTechno Full Stack دائمًا.,Unlocks BatTechno Full Stack in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99). Flagship Full-Stack AI is 300 JOD — confirm intentional price gap.,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,UNCLEAR PRICE GAP vs full-stack-with-ai-and-vibe-coding (70 vs 300 JOD).
cmpi2bb350021r00y9ep7infm,mswdh-kwrs-17,دورة احتراف كتابة المحتوى بالذكاء الاصطناعي,70.00,studyzhouse_course_mswdh_kwrs_17,AI Content Writing Mastery (v2),كتابة محتوى بالذكاء (2),AI Content Writing (2),يفتح كورس كتابة المحتوى (2) في STUDYZHOUSE.,Unlocks AI Content Writing 2 in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete. Strong pilot candidate (highest enrollments).,UNCLEAR / DUPLICATE TITLE with mswdh-kwrs-1. Differentiated as (2) for ASC; confirm with stakeholders before creation.
cmpi2fjew008jr00yye5pqi3x,mswdh-kwrs-18,دورة  2024 - كتابة المحتوى باللغة العربية,70.00,studyzhouse_course_mswdh_kwrs_18,Arabic Content Writing Course 2024,كتابة المحتوى بالعربية 2024,Arabic Content Writing 2024,يفتح كورس كتابة المحتوى بالعربية دائمًا.,Unlocks Arabic Writing course in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Year in title (2024) may look dated — confirm keep or rename.
cmpe5gbbw0087qx0yfa7qdgrx,mswdh-kwrs-2,"دورة ""بوستك بتسويه بإيدك""",70.00,studyzhouse_course_mswdh_kwrs_2,Design Your Own Posts Course,بوستك بتسويه بإيدك,Design Your Own Posts,يفتح كورس بوستك بتسويه بإيدك دائمًا.,Unlocks Design Your Own Posts in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Colloquial Arabic title in DB quotes; cleaned for ASC.
cmpe5i6m30099qx0yzf3k10l6,mswdh-kwrs-3,التجارة الإلكترونية على eBay: من الصفر حتى البيع,70.00,studyzhouse_course_mswdh_kwrs_3,eBay Ecommerce From Zero to Sale,التجارة الإلكترونية eBay,eBay Ecommerce Course,يفتح كورس eBay داخل STUDYZHOUSE دائمًا.,Unlocks eBay Ecommerce course in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,None major.
cmpe5jydm00abqx0ydcd0pggp,mswdh-kwrs-4,دورة - خارطة التفوق الدراسي: أسرار النجاح من الألف إلى الياء,70.00,studyzhouse_course_mswdh_kwrs_4,Academic Excellence Roadmap,خارطة التفوق الدراسي,Academic Excellence Roadmap,يفتح كورس التفوق الدراسي في STUDYZHOUSE.,Unlocks Academic Excellence in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,DB subtitle is vague (كيف تصبح ناجح بحياتك); ASC name kept study-focused.
cmpe5n8iy00bxqx0y6525r7a5,mswdh-kwrs-5,دورة استقبال وسكرتارية | Receptionist and Secretary,70.00,studyzhouse_course_mswdh_kwrs_5,Receptionist and Secretary Course,دورة استقبال وسكرتارية,Receptionist & Secretary,يفتح كورس الاستقبال والسكرتارية دائمًا.,Unlocks Receptionist course in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,UNCLEAR PRICE vs VALUE: 72 lessons at same 70 JOD as much shorter courses — confirm pricing intent.
cmpe618na00khqx0yx5ipcdd4,mswdh-kwrs-6,دورة تعلم أساسيات برمجة مواقع الويب - FULL-STACK DEVELOPMENT COURSE,70.00,studyzhouse_course_mswdh_kwrs_6,Full-Stack Web Development Basics,أساسيات برمجة مواقع الويب,Full-Stack Web Basics,يفتح كورس أساسيات Full-Stack دائمًا.,Unlocks Full-Stack Web Basics in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Thematic overlap with BatTechno Full Stack and Full-Stack AI flagship — keep names distinct.
cmpe64mrc00nrqx0ynq6dr832,mswdh-kwrs-7,Illustrator Planet Course | دورة كوكب إلستريتور,70.00,studyzhouse_course_mswdh_kwrs_7,Illustrator Planet Course,دورة كوكب إلستريتور,Illustrator Planet Course,يفتح كورس Illustrator في STUDYZHOUSE.,Unlocks Illustrator Planet in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,UNCLEAR READINESS: only 3 lessons at 70 JOD.
cmpe66c7f00ohqx0yn5d9eitr,mswdh-kwrs-8,ساعة احتراف في كتابة المحتوى!,70.00,studyzhouse_course_mswdh_kwrs_8,One-Hour Content Writing Mastery,ساعة احتراف كتابة المحتوى,1-Hour Content Writing,يفتح كورس ساعة كتابة المحتوى دائمًا.,Unlocks 1-Hour Writing course in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,Overlaps content-writing cluster (kwrs-1 / 8 / 15 / 17 / 18).
cmpe68hl200qzqx0y9x18tfh2,mswdh-kwrs-9,دورة - برمجة تطبيقات الويب بالذكاء الاصطناعي,70.00,studyzhouse_course_mswdh_kwrs_9,AI Web App Development Course,برمجة الويب بالذكاء الاصطناعي,AI Web App Development,يفتح كورس برمجة الويب بالذكاء دائمًا.,Unlocks AI Web App course in STUDYZHOUSE.,Non-Consumable,Catalog 70.00 JOD → ASC tier ~70 JOD (~USD 99).,Do not expose for iOS purchase until IAP wiring for this Product ID is complete.,None major.
