internalCourseId,slug,displayTitle,currentPrice,currency,isFree,isPaid,isPublished,currentlyVisibleOnIOS,currentAccessBehaviorOnIOS,existingAppleProductId,existingIosPurchasable,recommendedAppleProductId,recommendedIapType,recommendedAppleReferenceName,recommendedArabicDisplayName,recommendedEnglishDisplayName,recommendedArabicDescription,recommendedEnglishDescription,priorityForAppleSetup,notes
cmpe6ew0b00uhqx0y636zvmm7,mswdh-kwrs-12,Dev Tools Sprint | حقيبة المطور السريعة,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_12,Non-Consumable,Dev Tools Sprint,حقيبة المطور السريعة,Dev Tools Sprint,ادوات تساعدك في البرمجة,Unlock permanent access to: Dev Tools Sprint. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=3; activeEnrollments=0
cmph4fsji006rtu0zytxzs8yn,full-stack-with-ai-and-vibe-coding,Full-Stack-With-AI & vibe coding,300.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_full_stack_with_ai_and_vibe_coding,Non-Consumable,Full-Stack-With-AI & vibe coding,Full-Stack-With-AI & vibe coding,Full-Stack-With-AI & vibe coding,vibe coding,vibe coding,P1 — high price / flagship,High price relative to catalog; confirm App Store price tier vs JOD 300; appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; lessons=10; activeEnrollments=12
cmpe64mrc00nrqx0ynq6dr832,mswdh-kwrs-7,Illustrator Planet Course | دورة كوكب إلستريتور,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_7,Non-Consumable,Illustrator Planet Course,دورة كوكب إلستريتور,Illustrator Planet Course,احترف الستريتور من الصفر للاحتراف,Unlock permanent access to: Illustrator Planet Course. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=3; activeEnrollments=0
cmpe6bgxl00t7qx0y8clmmtuv,mswdh-kwrs-11,Photoshop Mastery Essentials | أساسيات احتراف الفوتوشوب,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_11,Non-Consumable,Photoshop Mastery Essentials,أساسيات احتراف الفوتوشوب,Photoshop Mastery Essentials,احترف التصميم على الفوتوشوب,Unlock permanent access to: Photoshop Mastery Essentials. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=8; activeEnrollments=0
cmpf9khwo001fmi0yjj1gm06b,mswdh-kwrs-14,احــتــــراف الكــتــــابة الــذّكــــية بالــلــغــــة الإنــجــلــــيزيــــة | Smart English Writing Mastery,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_14,Non-Consumable,Smart English Writing Mastery,احــتــــراف الكــتــــابة الــذّكــــية بالــلــ…,Smart English Writing Mastery,احــتــــراف الكــتــــابة الــذّكــــية بالــلــغــــة الإنــجــلــــيزيــــة,Unlock permanent access to: Smart English Writing Mastery. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=3; activeEnrollments=0
cmpe5i6m30099qx0yzf3k10l6,mswdh-kwrs-3,التجارة الإلكترونية على eBay: من الصفر حتى البيع,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_3,Non-Consumable,eBay Ecommerce From Zero to Sale,التجارة الإلكترونية على eBay: من الصفر حتى البيع,eBay Ecommerce From Zero to Sale,تعلم التجارة الالكترونية على eBay,تعلم التجارة الالكترونية على eBay,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; lessons=6; activeEnrollments=3
cmpe69t9x00s9qx0y5rskcibs,mswdh-kwrs-10,المسار السريع لتعلم فلاتر: من المنطق البرمجي إلى واجهة المستخدم | Flutter Fast Track: From Logic to UI,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_10,Non-Consumable,Flutter Fast Track: From Logic to UI,المسار السريع لتعلم فلاتر: من المنطق البرمجي إلى…,Flutter Fast Track: From Logic to UI,تعلم برمجة التطبيقات Flutter,تعلم برمجة التطبيقات Flutter,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=5; activeEnrollments=0
cmpi2fjew008jr00yye5pqi3x,mswdh-kwrs-18,دورة  2024 - كتابة المحتوى باللغة العربية,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_18,Non-Consumable,Arabic Content Writing Course 2024,دورة 2024 - كتابة المحتوى باللغة العربية,Arabic Content Writing Course 2024,دورة 2024 - كتابة المحتوى باللغة العربية,Unlock permanent access to: Arabic Content Writing Course 2024. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; lessons=93; activeEnrollments=13
cmpe5gbbw0087qx0yfa7qdgrx,mswdh-kwrs-2,"دورة ""بوستك بتسويه بإيدك""",70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_2,Non-Consumable,Design Your Own Posts,"دورة ""بوستك بتسويه بإيدك""",Design Your Own Posts,تعلم عمل البوستات بطريقة احترافية,Unlock permanent access to: Design Your Own Posts. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=6; activeEnrollments=0
cmpe68hl200qzqx0y9x18tfh2,mswdh-kwrs-9,دورة - برمجة تطبيقات الويب بالذكاء الاصطناعي,70.00,JOD,false,true,true,No (catalog hidden; enrolled-only in My Courses),Hidden from catalog; learnable only if already enrolled via web/other; no IAP purchase path,,false,studyzhouse_course_mswdh_kwrs_9,Non-Consumable,AI Web App Development Course,دورة - برمجة تطبيقات الويب بالذكاء الاصطناعي,AI Web App Development Course,تعلم برمجة الويب بالذكاء الاصطناعي,Unlock permanent access to: AI Web App Development Course. Full course content for enrolled students.,P1 — core paid catalog,appleProductId currently null; iosPurchasable=false; Safe to expose on iOS only after IAP product created + iosPurchasable=true + policy flags enabled; 0 active enrollments; lessons=8; activeEnrollments=0
